CITY ID,CITY NAME,COUNTRY ID,COUNTRY NAME,STATE ID,STATE NAME,SYNONYMS
7803,Baljurashi,8,Saudi Arabia,2150,Biljurashi,"بلجرشي, baljurashi, biljurashi"
484713214,Mahail,8,Saudi Arabia,92,Riyadh Region,mahail
7827,Haql,8,Saudi Arabia,2103,Haql,"حقل, haql, haqil"
7564,Ain AlBaraha,8,Saudi Arabia,92,Riyadh Region,"ain albaraha, عين الراحه, عين البراحة"
7818,Al Ghazalah,8,Saudi Arabia,2111,Al Ghazalah,"الغزالة, al ghazalah, ghazaial, ghazalah, al ghazalah"
7856,Kubadah,8,Saudi Arabia,92,Riyadh Region,"kubadah, كبدة"
7576,Al Muwayh,8,Saudi Arabia,93,Makkah Region,"al muwayh al gadeem, الموية القديم, al muwayh, muwayh, al moya, الموية"
7826,Hali,8,Saudi Arabia,92,Riyadh Region,"hali, haly"
7571,Sajir,8,Saudi Arabia,2013,Ad Duwadimi,"ساجر, sajir"
7583,Turabah,8,Saudi Arabia,2038,Turbah,"turabah, تربة, تربه, turbah, trubah, turubah, turba"
7590,Duba,8,Saudi Arabia,2101,Duba,"ضبا, duba, dhuba, ḍuba"
7613,Al Mutayrifi,8,Saudi Arabia,99,Eastern Province,"al mutayrifi, almutayrifi, المطرفي"
7641,Misliyah,8,Saudi Arabia,2120,Baysh,"misliyah, مسلية, masliyah, مسليه"
7655,Wed Alnkil,8,Saudi Arabia,104,Al-Qassim Region,"wed alnkil, al wed road"
7597,Bisha,8,Saudi Arabia,2090,Bishah,"bisha, بيشة, bishah"
7639,Farasan,8,Saudi Arabia,2129,Farasan,"farasan, فرسان, جزيرة فرسان, جزيره فرسان, farasan island"
7566,Al Kharj,8,Saudi Arabia,2007,Al Kharj,"الخرج, خرج, kharj, al kharj, alkharj, al-kharj, al kharj"
7574,Al Hada,8,Saudi Arabia,2040,Al Ardiyat,"al hada, الهدا, alhada, al-hada, الهدى, al hada, الحضا"
7578,Ghran,8,Saudi Arabia,2033,Khulays,"ghran, غران, gharan"
7611,Al Mubarraz,8,Saudi Arabia,2072,Al Ahsa,"المبرز, al mubarraz, almubarraz, mubarraz, al-mubarraz, mubaraz, al mubarraz"
7617,As Saffaniyah,8,Saudi Arabia,2076,Al Khafji,"as saffaniyah, السفانيه, السفانية, safanyah, as saffaniyah"
7604,Al Awjam,8,Saudi Arabia,99,Eastern Province,"al awjam, الأوجام, alawjam, الاوجام"
7601,Turaif,8,Saudi Arabia,2116,Turaif,"طريف, turaif, turayf"
7569,Marat,8,Saudi Arabia,2024,Marat,"مرات, marat, mrat"
7732,Adham,8,Saudi Arabia,2044,Adham,"أضم, adham, اضم"
7794,Bahrah,8,Saudi Arabia,2043,Bahrah,"بحره, bahrah, بحرة, bahara"
1,Qia,8,Saudi Arabia,2043,Bahrah,"qia, حداء, hada, hidaa, hada'"
7618,At Tubi,8,Saudi Arabia,2074,Al Qatif,"at tubi, at tawbi, التوبي, at tubi"
7766,Al Ghat,8,Saudi Arabia,2025,Al Ghat,"الغاط, al ghat, al-ghat, alghat, ghat, al ghat"
7742,arja,8,Saudi Arabia,2013,Ad Duwadimi,"arja, al arja, عرجاء, العرجاء, arja'"
7760,Al Mahd,8,Saudi Arabia,94,Al Madinah Region,"al mahd, al mahdam"
7795,Bahrat Al Moujoud,8,Saudi Arabia,92,Riyadh Region,bahrat al moujoud
7739,Al Ajfar,8,Saudi Arabia,99,Eastern Province,"al ajfar, الاجفر, alajfar, al-ajfar"
7761,Mudarraj,8,Saudi Arabia,104,Al-Qassim Region,"mudarraj المدرج, مدرج, mudarraj"
7768,Al Jesh,8,Saudi Arabia,92,Riyadh Region,"الجش, aljesh, al-jesh, jesh, al jesh, al-jsh"
7759,Al Mada,8,Saudi Arabia,92,Riyadh Region,"al mada, al mada park, المدى, المضة - طريب"
7798,Balqarn,8,Saudi Arabia,2081,Balqarn,"balqarn, بلقرن"
7900,Rimah,8,Saudi Arabia,2016,Rumah,"rimah, رماح, rumah, rumah , romah, remah"
7771,An Nabk Abu Qasr,8,Saudi Arabia,100,Al Jawf Region,"an nabk abu qasr, النبك ابو قصر"
7642,Mizhirah,8,Saudi Arabia,2125,Ahad Al Musarihah,"مزهرة, mizhirah, مزهره"
7865,Mawqaq,8,Saudi Arabia,2112,Mawqaq,"moqaq, موقق, mawqaq"
7746,Al Petra,8,Saudi Arabia,2059,An Nabhaniyah,"al petra, البتراء, alpetra, al-petra, al batra, albitra'"
7748,Al Dulaymiyah,8,Saudi Arabia,2058,Qassim Principality,"الدليمية, al dulaymiyah, الدليميه, dilemma, al dalemya, aldalimih"
7786,At Tuwayr,8,Saudi Arabia,2154,Jawf Principality,"at tuwayr, al tuwair, الطوير, at tuwayr"
7948,Wadi Al Farah,8,Saudi Arabia,2011,Hawtat Bani Tamim,"wadi al farah, al faraah, al farah, وادي الفرعه, وادي الفرعة, wadi faraah, al far'ah, الفرعة"
7853,Khulais,8,Saudi Arabia,2033,Khulays,"خليص, khulais, khulays"
8005,JASH,8,Saudi Arabia,2082,Tathlith,"jash, جاش"
7907,Salbukh,8,Saudi Arabia,2023,Huraymila,"صلبوخ, salbukh, salbookh"
7911,Saqf,8,Saudi Arabia,2111,Al Ghazalah,"saqf, سقف"
7922,Ash Shumaysi,8,Saudi Arabia,2034,Makkah Principality,"ash shumaysi, الشميسي, shmeissi, shumeisi, ash shumaysi"
7962,Al Jubailah,8,Saudi Arabia,2014,Al Aflaj,"al jubailah, al jubaylah, الجبيله, الجبيلة, jubaila, aljubaylah, al-jubaylah, jubaylah, aljubaila, al-jubaila, al jubaylah"
7935,Tumair,8,Saudi Arabia,2020,Al Majmaah,"تمير, tumair, tumayr"
7905,Sadyan,8,Saudi Arabia,2109,Hail Principality,"su'aydan, sadyan, سعيدان, sadyan cemetery, صديان"
7913,SATORP MIE,8,Saudi Arabia,99,Eastern Province,"satorp mie, satorp"
4,Al Haqu,8,Saudi Arabia,2120,Baysh,"al haqu, الحقو, alhuquw"
7887,Qasab,8,Saudi Arabia,2010,Shaqra,"qasab, al qasab, القصب, alqasab, al-qasab, القصب - شقراء, al qasab"
7933,Tharmda,8,Saudi Arabia,2024,Marat,"tharmada, ثرمداء, tharmda, tharmadaa, tharmada'"
7871,Munifat al Qa'id,8,Saudi Arabia,92,Riyadh Region,"munifat al qa'id, munifat al qaid, منيفة القاعد"
7881,Uthmaniyah,8,Saudi Arabia,92,Riyadh Region,"العثمانية, uthmaniyah, othmanyah العثمانيه, al othmanyah, al-othmanyah, alothmanyah, othmanyah"
7951,Yuthma,8,Saudi Arabia,94,Al Madinah Region,"yutamah, اليتمه, alyutamah, al-yutamah, al yutamah, yuthma"
7931,Aldhabyah,8,Saudi Arabia,92,Riyadh Region,"الظبية, aldhabyah, الظبيه, dhabyah, thabya"
8006,Kahlah,8,Saudi Arabia,2059,An Nabhaniyah,"kahlah, kahla كحله, كحلة, kahla, كحلة - البكيرية"
7995,Dhalim,8,Saudi Arabia,2039,Al Muwayh,"dhalim, dhalm, ظلم, dhalam"
7829,Harajah,8,Saudi Arabia,2085,Al Harajah,"الحرجة, harajah, al harajah, الحرجه, al harajah"
8015,Na'am,8,Saudi Arabia,2028,Al Hariq,"na'am, naam, نعام - الحريق, نعام"
7961,Al Idabi,8,Saudi Arabia,2127,Al Idabi,"al edabi, العيدابي, al idabi, al 'aydabi"
7965,Al Meqbel Palace,8,Saudi Arabia,2021,Duruma,"al meqbel palaces, قصور ال مقبل, al meqbel palace, قصور المقبل, qusur al muqbil, قصور المقبل"
7966,Al Midrij,8,Saudi Arabia,2058,Qassim Principality,"al midrij, المدرج, almudarij"
8002,Hesey,8,Saudi Arabia,92,Riyadh Region,"hesey, الحسي - ثادق"
7973,Al Uraija,8,Saudi Arabia,92,Riyadh Region,"urayja, عريجاء, al uraija, العريجاء"
7970,Al Qalibah,8,Saudi Arabia,95,Tabuk Region,"al qalibah القليبه, القليبة, alqalibah, al-qalibah, al qalibah"
8000,Hayer,8,Saudi Arabia,92,Riyadh Region,"hayer, haier, حاير, الحائر - امارة منطقة الرياض"
8008,Kara'a,8,Saudi Arabia,93,Makkah Region,"kara'a, القرى - القري"
8025,Quraa,8,Saudi Arabia,96,Asir Region,"quraa, القرعاء - امارة منطقة عسير"
8018,Nifi,8,Saudi Arabia,2013,Ad Duwadimi,"نفي, nifi"
7997,Hadda,8,Saudi Arabia,2031,Ranyah,"hadda, حدة, حده, الحدة, al hiddah"
8011,Layla,8,Saudi Arabia,2014,Al Aflaj,"ليلى, layla"
8022,Qbah,8,Saudi Arabia,2065,Al Asyah,"qabh, qbah, قبه, قبة, quba, qaba, kouba, qibah"
7831,Hawaya,8,Saudi Arabia,93,Makkah Region,"hawaya, حوايا"
7731,Addayer,8,Saudi Arabia,2122,Ad Dair,"الدائر, al dayer, addayer, ad-dayer, ad dayer, aldayer, al-dayer, الداير, ad dair"
8033,Shedgum,8,Saudi Arabia,2072,Al Ahsa,"shedgum, شدقم, na`lat shadqam, shadqam"
7793,Badr Al Janoub,8,Saudi Arabia,2138,Badr Al Janub,"بدر الجنوب, badr al janoub, badr al janub, بدر الجنوب"
8020,Qaser bin aqeel,8,Saudi Arabia,104,Al-Qassim Region,"qaser bin aqeel, qasr ibn ogail, qasribn 'aqil, قصر بن عقيل, قصر ابن عقيل"
7804,Al Birk,8,Saudi Arabia,2096,Al Birk,"البرك, al birk, al birkah, birk, al birk"
7992,Bir Ibn Hirmas,8,Saudi Arabia,2098,Tabuk Principality,"بئر بن هرماس, bir ibn hirmas, bayir bin hirmas, بئر بن هرماس"
8040,Tanajib,8,Saudi Arabia,2076,Al Khafji,"tanajib, تناجيب, تناجيب الجبيل, tanjeeb, تناقيب"
8037,Shri,8,Saudi Arabia,104,Al-Qassim Region,"shri, شري, shari, shry"
8028,Rawan,8,Saudi Arabia,99,Eastern Province,"rawan, روان"
7810,Dirab,8,Saudi Arabia,92,Riyadh Region,"dirab, ديراب, deraab"
8036,Shihiya,8,Saudi Arabia,99,Eastern Province,"shihiya, الشيحية - البكيرية"
7929,Tayma,8,Saudi Arabia,2099,Tayma,"تيماء, tayma, taima, tayma'"
8043,Tarib,8,Saudi Arabia,2086,Tarib,"tarib, طريب, tereeb, tareeb, turaib, فرعة طريب"
7647,Najran,8,Saudi Arabia,2139,Najran Principality,"نجران, najran"
7568,Az Zulfi,8,Saudi Arabia,2008,Az Zulfi,"الزلفي, az zulfi, al zulfi, al-zulfi, alzulfiazz zulfi, zulfi, az zilfi, az zulfi"
1493,Al Awshaziyah,8,Saudi Arabia,2111,Al Ghazalah,"al awshaziyah, العوشزية, al aziziyah, العوشزيه, aleushaziuh"
7614,Al Qatif,8,Saudi Arabia,2074,Al Qatif,"القطيف, قطيف, al-qatif, qatif, alqatif, al qatif, القطيف‎, al qatif"
1552909181,Wadi Reem,8,Saudi Arabia,94,Al Madinah Region,"وادي ريم, wadi reem"
2110900838,Al-Shaqiq,8,Saudi Arabia,92,Riyadh Region,"al-shaqiq, al shaqiq, alshaqiq"
1489,Nubayha,8,Saudi Arabia,104,Al-Qassim Region,"nubayha, نبيها"
1485,Dremeha,8,Saudi Arabia,2058,Qassim Principality,"dremeha, دريميحة, دريميحه, drimihuh"
1486,Ghaf Al Jawa,8,Saudi Arabia,2057,Uyun Al Jawa,"ghaf al jawa, روض الجواء, ghaf al-jawa, روض الجوا, rawd al jiwa, روض الجواء"
1487,Maraghan,8,Saudi Arabia,2058,Qassim Principality,"maraghan, مرغان, marghan"
1492,Umm Hazim,8,Saudi Arabia,2067,Ash Shimasiyah,"umm hazim, ام حزم, am huzm, ام حزم"
1520,Dulayhan,8,Saudi Arabia,2112,Mawqaq,"dulayhan, دليهان"
1522,Faydat Ibn Suwaylim,8,Saudi Arabia,98,Hail Region,"faydat ibn suwaylim, فيضة ابن سويلم, فيضة إبن سويلم"
1523,Hadabah,8,Saudi Arabia,98,Hail Region,"hadabah, هدبة, هدبه"
1518,Beda'a Ben Khalaf,8,Saudi Arabia,98,Hail Region,"beda'a ben khalaf, بدع بن خلف, bada bin khalf"
1538,Sude'a,8,Saudi Arabia,2153,Tubarjal,"sude'a, صديع, sade'"
1541,Abha Al Jadidah,8,Saudi Arabia,96,Asir Region,"abha al jadidah, أبها الجديدة"
1542,Afraa,8,Saudi Arabia,96,Asir Region,"afraa, عفراء"
1548,Habeel,8,Saudi Arabia,2087,Sarat Abidah,"habeel, الحبيل, al-habeel, al habeel, alhabeel, habil"
1547,Al Gafrat,8,Saudi Arabia,2090,Bishah,"al gafrat, الغفرات, al-gafrat, algafrat, al ghafrat"
1551,Al Qirah,8,Saudi Arabia,2082,Tathlith,"al qirah, القيره, القيرة, al-qirah, alqirah, al qirah"
1552,Al Runah,8,Saudi Arabia,2089,Khamis Mushayt,"al runah, الرونة, الرونه, al-runah, alrunah, alrawnah, ar runah"
1565,Morighan,8,Saudi Arabia,2082,Tathlith,"morighan, مريغان, murayghan"
1569,Shumran,8,Saudi Arabia,96,Asir Region,"shumran, شمران"
1577,Bani Horairah,8,Saudi Arabia,102,Al Bahah Region,"bani horairah, بني حريرة, بني هريرة, بني حريره, بني هريره"
1563,Khathaam,8,Saudi Arabia,96,Asir Region,"khathaam, خثعم"
1564,Marabah,8,Saudi Arabia,96,Asir Region,"marabah, مربة, مربه"
1559,Bashout,8,Saudi Arabia,2081,Balqarn,"bashout, باشوت, bashut"
1567,Qana,8,Saudi Arabia,2084,Muhayil,"qana, قنا, qena"
1562,Khamis Mutair,8,Saudi Arabia,2084,Muhayil,"khamis mutair, خميس مطير, khamis matir, خميس مطير"
1568,Reghawah,8,Saudi Arabia,2089,Khamis Mushayt,"reghawah, رغوه, رغوة, raghwah"
1571,Tabashah,8,Saudi Arabia,2089,Khamis Mushayt,"tabashah, تباشعة, تباشعه, tbash'ah"
1572,Tamniah,8,Saudi Arabia,2091,Asir Principality,"tamniah, تمنية, تمنيه, tamniyah"
1592,Bani Hamim,8,Saudi Arabia,103,Najran Region,"bani hamim, بني هميم"
1602,Al Aseelh,8,Saudi Arabia,2118,Sabya,"al aseelh, العسيلة, العسيله, al-asila"
1609,Al Gofol,8,Saudi Arabia,2124,Samtah,"al-gofol, القفل, algofol, al gofol, al qufl"
1611,Al Hasamah,8,Saudi Arabia,2125,Ahad Al Musarihah,"al hasamah, الحصامة, الحصامه, al hasamah, الحصمة"
1613,Al Henayah,8,Saudi Arabia,2127,Al Idabi,"al henayah, الحناية, الحنايه, al hinnayah"
1580,Bani Mouhamad,8,Saudi Arabia,102,Al Bahah Region,"bani mouhamad, بني محمد, قرية بني محمد"
1582,Bidah Valley,8,Saudi Arabia,102,Al Bahah Region,"bidah valley, وادي بيده, بيده"
1585,Awirah,8,Saudi Arabia,2144,Al Mandaq,"awirah, عويره, عويرة, owayrah"
1591,Al Khaniq,8,Saudi Arabia,2138,Badr Al Janub,"al khaniq, الخانق, alkhaniq, al-khaniq, al khaniq"
1594,Haddadah,8,Saudi Arabia,2138,Badr Al Janub,"haddadah, هداده, هدادة, hadadah"
